video_id,env,band,file_path,fps,duration,frame_count,resolution,swing_start_frame,swing_end_frame,split
Backside-8767-14,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-14.mov,30.0,10.833,325,720x1280,220,320,val
Backside-8767-16,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-16.mov,30.0,10.367,311,720x1280,152,252,test
Backside-8767-17,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-17.mov,30.0,10.2,306,720x1280,183,283,test
Side-6020-15,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-15.mov,30.0,8.0,240,720x1280,65,165,train
Side-6020-7,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-7.mov,30.0,11.4,342,720x1280,248,341,train
Side-6020-9,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-9.mov,30.0,8.033,241,720x1280,123,223,val
Backside-8767-2,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-2.mov,30.0,9.333,280,720x1280,144,244,test
Backside-8767-3,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-3.mov,30.0,8.567,257,720x1280,158,256,train
Side-6020-2,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-2.mov,30.0,9.433,283,720x1280,166,266,train
Side-6020-3,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-3.mov,30.0,8.2,246,720x1280,136,236,train
Backside-8767-4,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-4.mov,30.0,9.6,288,720x1280,187,287,train
Backside-8767-5,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-5.mov,30.0,9.7,291,720x1280,184,284,train
Backside-8767-6,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-6.mov,30.0,10.967,329,720x1280,241,328,train
Side-6016-18,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6016-18.mov,30.0,6.633,199,720x1280,180,198,val
Side-6020-6,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-6.mov,30.0,7.2,216,720x1280,70,170,val
Side-6020-8,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-8.mov,30.0,7.233,217,720x1280,109,168,train
Backside-8751-3,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-3.mov,30.0,7.367,221,720x1280,112,212,val
Backside-8751-5,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-5.mov,30.0,7.4,222,720x1280,98,198,train
Backside-8751-6,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-6.mov,30.0,6.767,203,720x1280,90,190,train
Side-6016-4,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-4.mov,30.0,8.967,269,720x1280,228,268,train
Side-6016-5,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-5.mov,30.0,7.967,239,720x1280,196,238,train
Side-6016-6,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-6.mov,30.0,7.4,222,720x1280,200,221,train
Backside-8748-3,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-3.mov,30.0,7.4,222,720x1280,203,221,train
Backside-8748-5,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-5.mov,30.0,7.867,236,720x1280,201,235,test
Side-5999-1,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-5999-1.mov,30.0,7.4,222,720x1280,101,201,train
Side-6007-1,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-6007-1.mov,30.0,9.933,298,720x1280,216,297,train
Backside-8897-2,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2.mov,30.0,7.433,223,720x1280,128,222,train
Backside-8900-11,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11.mov,30.0,7.1,213,720x1280,132,212,train
Side-6088-2,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6088-2.mov,30.0,6.333,190,720x1280,126,189,train
