video_id,augmented,env,band,band_id,sequence_path,interpolation_mask_path,low_quality,valid_ratio,mean_visibility,longest_dropout,interpolation_ratio,split
Backside-8767-14_no00,False,indoor,1_2,0,results\sequences\Backside-8767-14_no00__indoor__1_2.npz,results\interp_masks\Backside-8767-14_no00__indoor__1_2.npz,False,1.0,0.7838553786277771,0,0.17575757575757575,val
Backside-8767-14_no01,False,indoor,1_2,0,results\sequences\Backside-8767-14_no01__indoor__1_2.npz,results\interp_masks\Backside-8767-14_no01__indoor__1_2.npz,False,1.0,0.7590310623248419,0,0.23,train
Backside-8767-14_no02,False,indoor,1_2,0,results\sequences\Backside-8767-14_no02__indoor__1_2.npz,results\interp_masks\Backside-8767-14_no02__indoor__1_2.npz,False,1.0,0.6784618596235911,0,0.4703030303030303,test
Backside-8767-14_no03,False,indoor,1_2,0,results\sequences\Backside-8767-14_no03__indoor__1_2.npz,results\interp_masks\Backside-8767-14_no03__indoor__1_2.npz,False,1.0,0.7865915348132452,0,0.1787878787878788,test
Backside-8767-16_no00,False,indoor,1_2,0,results\sequences\Backside-8767-16_no00__indoor__1_2.npz,results\interp_masks\Backside-8767-16_no00__indoor__1_2.npz,False,1.0,0.7234203070402145,0,0.22272727272727272,val
Backside-8767-16_no01,False,indoor,1_2,0,results\sequences\Backside-8767-16_no01__indoor__1_2.npz,results\interp_masks\Backside-8767-16_no01__indoor__1_2.npz,True,1.0,0.5900546411673228,0,0.30484848484848487,train
Backside-8767-16_no02,False,indoor,1_2,0,results\sequences\Backside-8767-16_no02__indoor__1_2.npz,results\interp_masks\Backside-8767-16_no02__indoor__1_2.npz,False,1.0,0.7820412218570709,0,0.25666666666666665,test
Backside-8767-16_no03,False,indoor,1_2,0,results\sequences\Backside-8767-16_no03__indoor__1_2.npz,results\interp_masks\Backside-8767-16_no03__indoor__1_2.npz,False,1.0,0.7875920931498209,0,0.24333333333333335,train
Backside-8767-17_no00,False,indoor,1_2,0,results\sequences\Backside-8767-17_no00__indoor__1_2.npz,results\interp_masks\Backside-8767-17_no00__indoor__1_2.npz,False,1.0,0.8257779081662496,0,0.1715151515151515,test
Backside-8767-17_no01,False,indoor,1_2,0,results\sequences\Backside-8767-17_no01__indoor__1_2.npz,results\interp_masks\Backside-8767-17_no01__indoor__1_2.npz,False,1.0,0.8262991507848104,0,0.17242424242424242,train
Backside-8767-17_no02,False,indoor,1_2,0,results\sequences\Backside-8767-17_no02__indoor__1_2.npz,results\interp_masks\Backside-8767-17_no02__indoor__1_2.npz,False,1.0,0.8368206024169922,0,0.13545454545454547,train
Backside-8767-17_no03,False,indoor,1_2,0,results\sequences\Backside-8767-17_no03__indoor__1_2.npz,results\interp_masks\Backside-8767-17_no03__indoor__1_2.npz,True,0.0,0.0,100,1.0,val
Side-6020-15_no00,False,indoor,1_2,0,results\sequences\Side-6020-15_no00__indoor__1_2.npz,results\interp_masks\Side-6020-15_no00__indoor__1_2.npz,False,1.0,0.9337978661060333,0,0.034545454545454546,train
Side-6020-15_no01,False,indoor,1_2,0,results\sequences\Side-6020-15_no01__indoor__1_2.npz,results\interp_masks\Side-6020-15_no01__indoor__1_2.npz,False,1.0,0.9392841458320618,0,0.019393939393939394,train
